CookerStat, GenerateAssetRegistry=0.015646, Initialize=0.081349, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdC85FD47E4D4F5DEF43F5068218F8E5D8_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_0637550140B54DFF0E3774B0513D1__FC76ED936FADCAD544583E4167FF52A620E660B7, StartTime=2016.04.11-21.29.34, HierarchicalDDC=, DataSize=16647, Duration=2.896197, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdA6920936470C39A241D8D1A5EC1176D7_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_0637550140B54DFF0E3774B0513D1__430217945C0EF7CFE1091B623467E0108975D09A, StartTime=2016.04.11-21.29.34, HierarchicalDDC=, DataSize=6899, Duration=2.095495, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdF1395CF5419A0746F1C38FB6416A196A_2, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_85582CBC4EF9C7F5FCE3119013541F3B_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.11-21.29.34, Duration=52.275768, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdDCB6F0264B4FC6D40C099C8421310F57_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_85582CBC4EF9C7F5FCE3119013541__A85C5DAEAAA5B5A0B0B1000550D476567624E683, StartTime=2016.04.11-21.29.34, HierarchicalDDC=, DataSize=262407, Duration=2.323333, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdC85FD47E4D4F5DEF43F5068218F8E5D8_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_85582CBC4EF9C7F5FCE3119013541__1DD5951B31AE369651EF034E2C8467D4A588E8C8, StartTime=2016.04.11-21.29.34, HierarchicalDDC=, DataSize=65799, Duration=2.557140, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdA6920936470C39A241D8D1A5EC1176D7_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_85582CBC4EF9C7F5FCE3119013541__586EBE614CA2920A9994B54114C822FD5E209EAC, StartTime=2016.04.11-21.29.34, HierarchicalDDC=, DataSize=16647, Duration=2.146691, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdF1395CF5419A0746F1C38FB6416A196A_3, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_3B49FB8440BB77329B10B7AC23310C36_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.11-21.29.34, Duration=20.613865, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdA6920936470C39A241D8D1A5EC1176D7_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_85582CBC4EF9C7F5FCE3119013541__9708B9D9750366EECD75A65F0FB4F70ECDEE383F, StartTime=2016.04.11-21.29.34, HierarchicalDDC=, DataSize=6899, Duration=1.566142, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdDCB6F0264B4FC6D40C099C8421310F57_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_3B49FB8440BB77329B10B7AC23310__C9D1B13539798477F8E7F2EF3164A92844915B51, StartTime=2016.04.11-21.29.34, HierarchicalDDC=, DataSize=262407, Duration=2.356894, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdC85FD47E4D4F5DEF43F5068218F8E5D8_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_3B49FB8440BB77329B10B7AC23310__BEDF53429AD6C81883409903D8749DDD6BD93ABE, StartTime=2016.04.11-21.29.34, HierarchicalDDC=, DataSize=65799, Duration=2.238851, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdA6920936470C39A241D8D1A5EC1176D7_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_3B49FB8440BB77329B10B7AC23310__D3D5AAA3C97D549C4DBE1BBB969244F59EA9CB4A, StartTime=2016.04.11-21.29.34, HierarchicalDDC=, DataSize=16647, Duration=4.270058, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdC85FD47E4D4F5DEF43F5068218F8E5D8_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_3B49FB8440BB77329B10B7AC23310__DA29D78144BAABF5DB6E0B096C8D4FA549C582E3, StartTime=2016.04.11-21.29.34, HierarchicalDDC=, DataSize=6899, Duration=2.343524, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdF1395CF5419A0746F1C38FB6416A196A_4, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_A03B9EE04E2559B803511482D019E20C_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.11-21.29.34, Duration=47.402412, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdDCB6F0264B4FC6D40C099C8421310F57_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_A03B9EE04E2559B803511482D019E__7916AB8D47648AE2B27B11F498495E01A5B633C6, StartTime=2016.04.11-21.29.34, HierarchicalDDC=, DataSize=262407, Duration=2.523296, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdA6920936470C39A241D8D1A5EC1176D7_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_A03B9EE04E2559B803511482D019E__400D2D6636828C422BE19C155B9870CBB9A2634C, StartTime=2016.04.11-21.29.34, HierarchicalDDC=, DataSize=65799, Duration=2.349500, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdC85FD47E4D4F5DEF43F5068218F8E5D8_9, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_A03B9EE04E2559B803511482D019E__B3AEFC9589E30BCE16256860D717C7B40732D7A9, StartTime=2016.04.11-21.29.34, HierarchicalDDC=, DataSize=16647, Duration=2.361164, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
